iter	Passed	Remaining
424	1965	2659
425	1969	2653
426	1973	2647
427	1978	2643
428	1982	2638
429	1986	2632
430	1989	2626
431	1994	2622
432	1998	2617
433	2002	2611
434	2007	2607
435	2011	2601
436	2014	2595
437	2018	2589
438	2023	2585
439	2026	2579
440	2031	2575
441	2035	2569
442	2040	2565
443	2044	2559
444	2048	2555
445	2082	2586
446	2095	2592
447	2100	2588
448	2106	2584
449	2109	2578
450	2113	2572
451	2117	2566
452	2122	2562
453	2126	2556
454	2129	2550
455	2133	2545
456	2138	2540
457	2141	2534
458	2145	2529
459	2149	2523
460	2154	2519
461	2159	2514
462	2162	2508
463	2168	2504
464	2172	2499
465	2176	2494
466	2180	2488
467	2185	2484
468	2190	2479
469	2193	2473
470	2198	2469
471	2203	2465
472	2208	2460
473	2212	2455
474	2217	2451
475	2222	2446
476	2226	2441
477	2232	2438
478	2237	2433
479	2241	2427
480	2247	2424
481	2259	2428
482	2265	2424
483	2269	2419
484	2273	2414
485	2278	2409
486	2282	2404
487	2286	2399
488	2291	2394
489	2296	2390
490	2300	2384
491	2305	2380
492	2311	2377
493	2315	2371
494	2319	2366
495	2323	2360
496	2329	2357
497	2333	2352
498	2337	2347
499	2343	2343
500	2347	2337
501	2351	2332
502	2355	2327
503	2360	2323
504	2365	2318
505	2368	2312
506	2374	2308
507	2378	2303
508	2382	2298
509	2386	2292
510	2391	2288
511	2396	2284
512	2400	2278
513	2405	2274
514	2410	2269
515	2415	2265
516	2421	2262
517	2427	2258
518	2433	2255
519	2440	2252
520	2447	2250
521	2454	2247
522	2460	2244
523	2464	2238
524	2470	2234
525	2474	2229
526	2478	2224
527	2482	2218
528	2488	2215
529	2492	2210
530	2496	2205
531	2502	2201
532	2506	2196
533	2519	2198
534	2524	2194
535	2528	2188
536	2533	2184
537	2537	2178
538	2541	2173
539	2545	2168
540	2551	2164
541	2555	2159
542	2559	2153
543	2563	2149
544	2569	2144
545	2573	2139
546	2576	2133
547	2582	2129
548	2586	2124
549	2590	2119
550	2594	2114
551	2600	2110
552	2604	2105
553	2608	2100
554	2614	2096
555	2618	2090
556	2621	2085
557	2627	2081
558	2634	2078
559	2638	2072
560	2643	2068
561	2648	2064
562	2652	2059
563	2657	2054
564	2663	2050
565	2666	2044
