iter	RMSE
939	19453.40212
940	19434.59982
941	19423.11262
942	19416.24656
943	19403.88163
944	19377.36326
945	19352.80687
946	19338.09213
947	19326.97842
948	19314.75085
949	19305.7218
950	19288.32805
951	19256.28335
952	19216.41048
953	19194.28464
954	19158.36506
955	19137.60476
956	19131.50701
957	19117.5457
958	19102.34435
959	19082.11324
960	19071.76748
961	19052.86125
962	19026.01696
963	19012.17627
964	18983.02689
965	18963.93053
966	18954.44151
967	18942.64066
968	18930.64524
969	18908.71257
970	18900.22514
971	18890.37362
972	18882.05646
973	18871.04397
974	18860.16289
975	18853.2534
976	18845.40567
977	18827.84421
978	18815.4891
979	18796.31559
980	18759.40086
981	18739.936
982	18724.87397
983	18705.5571
984	18693.41383
985	18687.63976
986	18679.72603
987	18659.49023
988	18640.50228
989	18614.4751
990	18595.41419
991	18586.03971
992	18578.38398
993	18545.99156
994	18526.93056
995	18517.88972
996	18503.19552
997	18488.54966
998	18466.17422
999	18455.09521
