cod_segmento;segmento;cod_subsegmento;calificacion_riesgos;tasa_cartera;tasa_operacion_especifica;tasa_hipotecario;tasa_leasing;tasa_sufi;tasa_factoring;tasa_tarjeta
9;NEGOCIOS E INDEPENDIENTES;-1;C16;0,289896721;0,266944344;0,08996;0,139592512;0,166512;0,131555419;0,3867
9;NEGOCIOS E INDEPENDIENTES;-1;C15;0,285234832;0,264941385;0,11994;0,135961876;0,139607;0,126219641;0,3867
9;NEGOCIOS E INDEPENDIENTES;-1;C14;0,278318053;0,257292463;0,1414975;0,146241387;0,141132;0,154629821;0,3867
9;NEGOCIOS E INDEPENDIENTES;-1;C13;0,266250342;0,249830625;0,163055;0,143025271;0,12774;0,144650036;0,3867
5;PYME;2;C10;0,223412324;0,215470674;0,27961;0,121088618;0,116574;0,189194437;0,3867
5;PYME;2;C9;0,215744415;0,211545205;0,214540752;0,126118992;0,105528;0,146025579;0,3867
5;PYME;2;C8;0,210081958;0,210004111;0,149471504;0,122656337;0,118849;0,177183947;0,3867
5;PYME;2;C7;0,203631501;0,207297017;0,16592;0,122841117;0,128841;0,174392207;0,3867
5;PYME;2;C6;0,200875913;0,205972358;0,147086667;0,139600457;0,115634;0,148706075;0,3867
5;PYME;2;C5;0,196981824;0,205215656;0,122709512;0,136664295;0,110233;0,141070881;0,3867
5;PYME;2;C4;0,190214986;0,202838667;0,169201357;0,134434206;0,111939;0,15093182;0,3867
5;PYME;2;C3;0,184079121;0,198298253;0,143347032;0,134620111;0,104154;0,148700263;0,3867
5;PYME;2;C2;0,181917967;0,193789649;0,120837727;0,130620233;0,104786;0,157806699;0,3867
5;PYME;2;C1;0,176192097;0,179358934;0,12102037;0,110385843;0,096205;0,165439856;0,3867
5;PYME;3;C19;0,275376235;0,240116469;0,19173;0,129371877;0,087656;0,158120825;0,3867
5;PYME;3;C18;0,34146537;0,235840653;0,18526375;0,128563126;0,087656;0,150801794;0,3867
5;PYME;3;C17;0,269826244;0,219111117;0,1787975;0,125371445;0,12115;0,148259357;0,3867
5;PYME;3;C16;0,317443994;0,243097204;0,17233125;0,140152291;0,12115;0,137713097;0,3867
5;PYME;3;C15;0,263540182;0,227944205;0,165865;0,116139614;0,100556;0,135577689;0,3867
5;PYME;3;C14;0,252353292;0,228675052;0,165865;0,116681318;0,102379;0,142093035;0,3867
5;PYME;3;C13;0,241223677;0,219236998;0,156453625;0,116044921;0,125445;0,167767044;0,3867
5;PYME;3;C12;0,228055705;0,209583236;0,154094438;0,123442336;0,102912;0,152728381;0,3867
5;PYME;3;C11;0,227830385;0,20681064;0,1529325;0,113408749;0,128747;0,154601527;0,3867
5;PYME;3;C10;0,212335077;0,202819033;0,149699375;0,123132022;0,140056;0,164319937;0,3867
5;PYME;3;C9;0,213655459;0,202009503;0,14646625;0,111483201;0,134434;0,191692545;0,3867
5;PYME;3;C8;0,197576282;0,196889728;0,14;0,112105145;0,106526;0,149512814;0,3867
5;PYME;3;C7;0,191509101;0,191839125;0,14598625;0,109482127;0,109185;0,161416878;0,3867
5;PYME;3;C6;0,189173508;0,190387487;0,1519725;0,123507053;0,095571;0,15089278;0,3867
5;PYME;3;C5;0,185256595;0,191455844;0,116286677;0,121924942;0,079238;0,148998984;0,3867
5;PYME;3;C4;0,191301733;0,187168812;0,169063506;0,125869953;0,110495;0,139855725;0,3867
5;PYME;3;C3;0,173406072;0,18508901;0,136212727;0,12461515;0,085649;0,146095682;0,3867
5;PYME;3;C2;0,171224762;0,179872715;0,10468;0,118267606;0,079432;0,161572796;0,3867
5;PYME;3;C1;0,167614219;0,170054652;0,1252;0,101370096;0,089473;0,159783125;0,3867
5;PYME;4;C2;0,164155784;0,171568599;0,121946;0,108922219;0,08889;0,14416484;0,3867
5;PYME;4;C1;0,161128356;0,165235435;0,096167143;0,09111694;0,088588;0,15133551;0,3867
5;PYME;1;C19;0,183414225;0,259686663;0,25781;0,147770352;0,089878;0,151954921;0,3867
5;PYME;1;C18;0,264861967;0,264131749;0,08992;0,129263294;0,118256;0,140088792;0,3867
5;PYME;1;C17;0,283012032;0,268190564;0,08994;0,146443228;0,03;0,128222664;0,3867
5;PYME;1;C16;0,289896721;0,266944344;0,08996;0,139592512;0,166512;0,131555419;0,3867
5;PYME;1;C15;0,285234832;0,264941385;0,11994;0,135961876;0,139607;0,126219641;0,3867
5;PYME;1;C14;0,278318053;0,257292463;0,1414975;0,146241387;0,141132;0,154629821;0,3867
5;PYME;1;C13;0,266250342;0,249830625;0,163055;0,143025271;0,12774;0,144650036;0,3867
5;PYME;1;C12;0,259170499;0,24268932;0,1846125;0,146794202;0,134048;0,146465362;0,3867
5;PYME;1;C11;0,250350003;0,239823506;0,20617;0,137013541;0,126061;0,158310036;0,3867
5;PYME;1;C10;0,244242297;0,23759732;0,08994;0,137797708;0,116774;0,164796206;0,3867
5;PYME;1;C9;0,232909068;0,233487305;0,159345;0,143824296;0,123468;0,16816314;0,3867
5;PYME;1;C8;0,223274602;0,228520569;0,137499804;0,144438857;0,189358;0,175926445;0,3867
5;PYME;1;C7;0,224223534;0,224252776;0,140460833;0,13199871;0,154189;0,147906867;0,3867
